Sno,Question,Answer,Subject,Category
34,What is a structure in C?,A structure is a user-defined data type that groups related variables of different types.,C,Technical
35,What is the difference between struct and union?,"In a struct, each member has its own memory, while in a union, all members share the same memory location.",C,Technical
36,How do you read input from the user in C?,Input is read using functions like scanf() or getchar(),C,Technical
37,What is recursion?,Recursion is a programming technique where a function calls itself to solve a problem.,C,Technical
38,What is a macro in C?,A macro is a preprocessor directive defined using #define that replaces text in the code before compilation.,C,Technical
39,What is the purpose of the void keyword in C?,The void keyword indicates that a function does not return a value or that a pointer does not point to any specific data type.,C,Technical
40,What does the sizeof operator do in C?,The sizeof operator returns the size (in bytes) of a data type or variable.,C,Technical
41,What is a pointer in C?,A pointer is a variable that stores the memory address of another variable.,C,Technical
42,What is the purpose of the return 0; statement in main()?,The return 0; statement indicates that the program has executed successfully and is returning control to the operating system.,C,Technical
43,What is dynamic memory allocation in C?,Dynamic memory allocation allows programs to allocate memory during runtime.,C,Technical
44,What is a segmentation fault in C?,A segmentation fault occurs when a program tries to access an invalid memory location.,C,Technical
45,What is a stack overflow?,"A stack overflow occurs when there is too much memory used on the call stack, often due to deep or infinite recursion.",C,Technical
46,What is a null pointer in C?,A null pointer is a pointer that does not point to any memory location or object.,C,Technical
47,What is the difference between stack and heap memory?,"The stack is used for static memory, while the heap is for dynamic memory.",C,Technical
48,What is the use of the const keyword in C?,"The const keyword is used to declare variables whose value cannot be changed after initialization, making them read-only.",C,Technical
49,"What is the difference between public, private, and protected access specifiers?","public members are accessible from outside the class, private members are accessible only within the class, and protected members are accessible in the class and its derived classes.",C++,Technical
50,What is the purpose of the new and delete operators in C++?,"The new operator allocates memory for an object dynamically, while the delete operator deallocates that memory, preventing memory leaks.",C++,Technical
51,What is a template in C++?,"A template is a feature that allows functions and classes to operate with generic types, enabling code reusability for different data types.",C++,Technical
52,What is the difference between a shallow copy and a deep copy?,"A shallow copy duplicates the object's immediate values, while a deep copy duplicates the object along with all objects referenced by it.",C++,Technical
53,What is the purpose of the friend keyword in C++?,The friend keyword allows a function or another class to access private and protected members of the class it is declared in.,C++,Technical
54,What is a constructor in C++?,A constructor is a special function that initializes objects of a class.,C++,Technical
55,What is a virtual function in C++?,A virtual function is a member function expected to be redefined in derived classes.,C++,Technical
56,What is object slicing in C++?,Object slicing occurs when a derived class object is assigned to a base class object.,C++,Technical
57,What is exception handling in C++?,"Exception handling in C++ is controlled with try, catch, and throw blocks.",C++,Technical
58,What is a copy constructor in C++?,A copy constructor creates a new object as a copy of an existing one.,C++,Technical
59,What is operator overloading in C++?,Operator overloading allows custom behavior for operators in a class.,C++,Technical
60,What is a static variable in C++?,A static variable retains its value between function calls and is shared among all instances of a class.,C++,Technical
61,What is the purpose of the 'this' pointer in C++?,The 'this' pointer refers to the current instance of a class.,C++,Technical
62,What is method overloading in C++?,Method overloading allows multiple methods in the same class to have the same name but different parameters.,C++,Technical
63,What is a pure virtual function in C++?,"A pure virtual function is a virtual function declared by assigning 0 in its declaration, making the class an abstract class that cannot be instantiated.",C++,Technical
64,What is the difference between TCP and UDP?,"TCP is connection-oriented, while UDP is connectionless.",CN,Technical
65,What are sockets in computer networks?,Sockets are endpoints for data exchange between two machines.,CN,Technical
66,What is the role of a web server?,A web server processes requests from clients and serves them web content like HTML pages.,CN,Technical
67,What is a session in web applications?,"A session is a temporary connection between a client and server, used to store user information.",CN,Technical
68,What is a router in computer networks?,A router is a device that forwards data packets between computer networks.,CN,Technical
69,What is a MAC address?,A MAC (Media Access Control) address is a unique identifier assigned to a network interface card (NIC) for communication on a physical network.,CN,Technical
70,What is a binary tree?,A binary tree is a data structure in which each node has at most two children.,Data Structures,Technical
71,What is a hash table?,A hash table is a data structure that stores key-value pairs for efficient data retrieval.,Data Structures,Technical
72,What is a linked list?,"A linked list is a data structure consisting of a sequence of nodes, each containing data and a reference to the next node.",Data Structures,Technical
73,What is a stack?,"A stack is a linear data structure that follows the Last In, First Out (LIFO) principle.",Data Structures,Technical
74,What is a queue?,"A queue is a linear data structure that follows the First In, First Out (FIFO) principle.",Data Structures,Technical
75,What is a tree in data structures?,"A tree is a hierarchical data structure consisting of nodes, with a single root node and child nodes.",Data Structures,Technical
76,What is a doubly linked list?,A doubly linked list is a linked list where each node has pointers to both the next and previous nodes.,Data Structures,Technical
77,What is a graph in data structures?,"A graph is a collection of nodes (vertices) connected by edges, used to represent relationships between pairs of objects.",Data Structures,Technical
78,What is normalization in databases?,Normalization is the process of organizing data to reduce redundancy.,Databases,Technical
79,What is database indexing?,Indexing improves the speed of data retrieval.,Databases,Technical
80,What is a database schema?,"A schema defines the structure of a database, including tables, fields, and relationships.",Databases,Technical
81,What is a primary key in databases?,A primary key is a unique identifier for a record in a database table.,Databases,Technical
82,What is SQL?,SQL (Structured Query Language) is a standard language used to interact with and manage databases.,Databases,Technical
83,What is a foreign key?,"A foreign key is a column that creates a relationship between two tables, linking one table's primary key to another.",Databases,Technical
84,What is a join in SQL?,A join is a SQL operation used to combine rows from two or more tables based on a related column.,Databases,Technical
85,What is the difference between DELETE and TRUNCATE?,"DELETE removes specific rows and can be rolled back, while TRUNCATE removes all rows and cannot be rolled back.",Databases,Technical
86,What is ACID in databases?,"ACID stands for Atomicity, Consistency, Isolation, and Durability, which are properties that ensure reliable transactions.",Databases,Technical
87,What is a trigger in a database?,"A trigger is a set of actions automatically executed when a specified database event occurs, like an INSERT or UPDATE.",Databases,Technical
88,What is multithreading in OS?,Multithreading allows multiple threads to be executed concurrently.,OS,Technical
89,What is deadlock in OS?,Deadlock occurs when a set of processes are blocked because each is holding a resource and waiting for another.,OS,Technical
90,What is a microkernel in OS?,A microkernel runs the most basic functions of the OS.,OS,Technical
91,What is thread synchronization in OS?,Thread synchronization prevents concurrent execution of critical sections of code.,OS,Technical
92,What is a semaphore in OS?,A semaphore manages concurrent processes using signaling.,OS,Technical
93,What is a virtual memory?,"Virtual memory is a memory management technique that provides an ""idealized abstraction"" of the storage resources.",OS,Technical
94,What is a process?,A process is an instance of a program that is executing in a computer’s memory.,OS,Technical
95,What is a thread?,A thread is the smallest unit of a process that can be scheduled and executed independently.,OS,Technical
96,What is paging in an OS?,Paging is a memory management technique where memory is divided into fixed-size pages to manage and allocate memory efficiently.,OS,Technical
97,What is context switching?,"Context switching is the process of saving the state of a process and loading the state of another, allowing multitasking.",OS,Technical
98,What is the difference between primary and secondary memory?,"Primary memory is fast, volatile memory , while secondary memory is non-volatile storage .",OS,Technical
99,What is IPC,IPC is a mechanism that allows processes to communicate and synchronize with each other.,OS,Technical
100,What is a daemon in an OS?,"A daemon is a background process that runs continuously, often performing system-level tasks or waiting for requests.",OS,Technical
101,What is the purpose of a scheduler?,"A scheduler manages process execution by deciding which process to run and for how long, optimizing system performance.",OS,Technical
102,What is swapping?,Swapping is a memory management technique where a process is moved between main memory and disk to free up space.,OS,Technical
103,What is waterfall model?,"The waterfall model is a sequential software development process, where each phase must be completed before moving to the next.",SE,Technical
104,What is continuous integration?,"CI is a practice where developers frequently merge code changes into a shared repository, which is then automatically tested.",SE,Technical
105,What is software engineering?,"Software engineering is the application of engineering principles to design, develop, test, and maintain software.",SE,Technical
106,What is agile methodology?,Agile methodology is a project management framework that promotes iterative development and collaboration.,SE,Technical
107,What is a software development lifecycle (SDLC)?,"SDLC is a process for planning, creating, testing, and deploying software.",SE,Technical
108,Describe a time when you had to explain something complex to someone.,"I simplified the concept, used relatable examples, and ensured they understood by asking follow-up questions.",Communication Skills,Behavioral
109,How do you handle misunderstandings in communication?,"I listen carefully, clarify my points, and confirm that everyone is on the same page.",Communication Skills,Behavioral
110,What is your approach when receiving constructive criticism?,"I listen openly, ask questions for clarity, and use the feedback to improve.",Communication Skills,Behavioral
111,How do you ensure effective communication in a team?,"I keep everyone informed, listen to their ideas, and encourage open discussions.",Communication Skills,Behavioral
112,Introduce yourself.,"I’m Siddhi, a student pursuing Information Technology Engineering with a keen interest in software development and AI technologies.",Communication Skills,Behavioral
113,Describe a time you had to communicate with a difficult person.,"I remained calm, focused on understanding their perspective, and addressed their concerns professionally.",Communication Skills,Behavioral
114,Describe your role in a successful team project.,"I collaborated with team members, took on tasks, and helped wherever needed to meet our goals.",Teamwork,Behavioral
115,How do you handle disagreements in a team?,"I listen to all perspectives, find common ground, and work towards a solution that benefits the team.",Teamwork,Behavioral
116,How do you prioritize your tasks?,I assess the urgency and importance of each task and tackle the most critical ones first.,Time Management,Behavioral
117,Describe a time when you had to meet a tight deadline.,"I stayed focused, managed my time well, and completed the work efficiently to meet the deadline.",Time Management,Behavioral
118,What tools do you use to manage your time?,"I use tools like calendars, to-do lists, and time-tracking apps to stay organized.",Time Management,Behavioral
